index,title,is_financial,sentiment,companies,sector,summary_en,summary_tr,confident_score,error
1,Nuôi dạy trẻ ở Việt Nam: Xung đột giữa Giá trị Cá nhân và Chuẩn mực Cộng đồng,False,Neutral,,,"The article discusses the conflict between personal values and societal norms in raising children in Vietnam. It highlights the challenges faced by parents who prioritize their children's individuality and critical thinking, contrasting with societal expectations of obedience and conformity. The article emphasizes the importance of allowing children to express themselves and fostering critical thinking.","Makale, Vietnam'da çocuk yetiştirirken kişisel değerler ile toplumsal normlar arasındaki çatışmayı ele alıyor. Çocuklarının bireyselliğine ve eleştirel düşüncesine öncelik veren ebeveynlerin karşılaştığı zorlukları, itaat ve uyum beklentileriyle karşılaştırarak vurguluyor. Makale, çocukların kendilerini ifade etmelerine izin vermenin ve eleştirel düşünmeyi teşvik etmenin önemini vurguluyor.",,
2,Sangdo,False,Neutral,,,"The article presents a collection of diverse topics, including fashion, religious figures, the value of studying abroad, and effective communication. The content ranges from comparing fashion brands to discussing the importance of keeping religious figures in one's heart.","Makale, moda, dini figürler, yurt dışında okumanın değeri ve etkili iletişim gibi çeşitli konuları sunmaktadır. İçerik, moda markalarını karşılaştırmaktan dini figürleri kalpte tutmanın önemi üzerine tartışmaya kadar uzanmaktadır.",9.0,
3,call.me.beth,False,Neutral,Spiderum Vietnam JSC,,"The article provides contact information for call.me.beth, which is affiliated with Spiderum Vietnam JSC. The content is managed by Tran Viet Anh and operates under a license from the Ministry of Information and Communications.","Makale, Spiderum Vietnam JSC'ye bağlı call.me.beth için iletişim bilgileri sağlamaktadır. İçerik, Tran Viet Anh tarafından yönetilmekte ve Bilgi ve İletişim Bakanlığı'ndan alınan bir lisans altında faaliyet göstermektedir.",9.0,
4,Du lịch,False,Neutral,"Felizz, Spiderum Vietnam JSC",,"The article provides contact information for Felizz, a company under Spiderum Vietnam JSC. It includes details such as the content manager's name, social media license, copyright information, email, phone number, and address.","Makale, Spiderum Vietnam JSC bünyesindeki Felizz'in iletişim bilgilerini sağlamaktadır. İçerik yöneticisinin adı, sosyal medya lisansı, telif hakkı bilgileri, e-posta, telefon numarası ve adres gibi detayları içermektedir.",9.0,
5,Movie,False,Neutral,Spiderum Vietnam JSC,,"The article provides contact information for Spiderum Vietnam JSC, including its address, email, and phone number. It also mentions the content responsibility of Tran Viet Anh and the social network license.","Makale, Spiderum Vietnam JSC'nin adresi, e-postası ve telefon numarası dahil olmak üzere iletişim bilgilerini sağlar. Ayrıca Tran Viet Anh'in içerik sorumluluğundan ve sosyal ağ lisansından bahseder.",9.0,
6,rc09,,,,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
7,Spiderum | Mạng Xã Hội Chia Sẻ Quan Điểm - Kiến Thức Hàng Đầu Việt Nam,False,Neutral,,,"The article discusses various topics on the Spiderum social network, including online patriotism, energy-saving investments, and Vietnam's transition to renewable energy. It also explores what Vietnam can learn from the global energy revolution.","Makale, Spiderum sosyal ağında çevrimiçi vatanseverlik, enerji tasarrufu yatırımları ve Vietnam'ın yenilenebilir enerjiye geçişi dahil olmak üzere çeşitli konuları ele almaktadır. Ayrıca Vietnam'ın küresel enerji devriminden neler öğrenebileceğini araştırıyor.",8.0,
8,Nhiếp ảnh,False,Neutral,Spiderum Vietnam JSC,,"The article provides contact information for Spiderum Vietnam JSC, including its address, email, and phone number. It also mentions the content responsibility of Tran Viet Anh and the social network license issued by the Ministry of Information and Communications.","Makale, Spiderum Vietnam JSC'nin adresi, e-postası ve telefon numarası dahil olmak üzere iletişim bilgilerini sağlamaktadır. Ayrıca, Tran Viet Anh'in içerik sorumluluğundan ve Bilgi ve İletişim Bakanlığı tarafından verilen sosyal ağ lisansından bahsetmektedir.",9.0,
9,The Brands,False,Neutral,Spiderum Vietnam JSC,,"The article provides contact information for Spiderum Vietnam JSC, including its address, email, and phone number. It also mentions the content responsibility and social network license information.","Makale, Spiderum Vietnam JSC'nin adresi, e-postası ve telefon numarası dahil olmak üzere iletişim bilgilerini sağlar. Ayrıca içerik sorumluluğu ve sosyal ağ lisans bilgilerinden de bahseder.",9.0,
10,Người trong muôn nghề,False,Neutral,Spiderum Vietnam JSC,,"The article provides contact information for Spiderum Vietnam JSC, including its address, email, and phone number. It also mentions the content manager and the social media license.","Makale, Spiderum Vietnam JSC'nin adresi, e-postası ve telefon numarası dahil olmak üzere iletişim bilgilerini sağlar. Ayrıca içerik yöneticisinden ve sosyal medya lisansından bahseder.",9.0,
11,Xe máy,False,Neutral,Spiderum Vietnam JSC,,"The article provides contact information for Spiderum Vietnam JSC, including its address, email, and phone number. It also mentions the content responsibility of Tran Viet Anh and the social network license issued by the Ministry of Information and Communications.","Makale, Spiderum Vietnam JSC'nin adresi, e-postası ve telefon numarası dahil olmak üzere iletişim bilgilerini sağlamaktadır. Ayrıca, Tran Viet Anh'in içerik sorumluluğundan ve Bilgi ve İletişim Bakanlığı tarafından verilen sosyal ağ lisansından bahsetmektedir.",9.0,
12,Góc nhìn thời sự,False,Neutral,"Spiderum Vietnam JSC, Felizz",,"The article provides contact information for Spiderum Vietnam JSC, including its subsidiary Felizz. It lists the content manager, license details, copyright information, and contact details.","Makale, Spiderum Vietnam JSC'nin bir iştiraki olan Felizz de dahil olmak üzere iletişim bilgilerini sağlar. İçerik yöneticisini, lisans ayrıntılarını, telif hakkı bilgilerini ve iletişim bilgilerini listeler.",9.0,
13,Khái quát lịch sử & văn hóa Chămpa,False,Neutral,,,"This article provides an overview of the history and culture of the Champa kingdom in Vietnam, discussing its origins, relationship with Đại Việt, architectural styles, religious influences, and artistic achievements. It highlights the kingdom's unique characteristics, including its political structure, religious practices, and the evolution of its art and architecture. The article also mentions the influence of Indian culture and the development of the Chăm script.","Bu makale, Vietnam'daki Champa krallığının tarihi ve kültürü hakkında genel bir bakış sunmakta, kökenlerini, Đại Việt ile ilişkilerini, mimari tarzlarını, dini etkilerini ve sanatsal başarılarını tartışmaktadır. Krallığın siyasi yapısı, dini uygulamaları ve sanat ve mimarisinin evrimi dahil olmak üzere benzersiz özelliklerini vurgulamaktadır. Makale ayrıca Hint kültürünün etkisinden ve Chăm yazısının gelişiminden de bahsetmektedir.",9.0,
14,Tâm lý học,False,Neutral,"Spiderum Vietnam JSC, Felizz",,"The article provides contact information for Spiderum Vietnam JSC, including its subsidiary Felizz. It lists the content responsible person, license details, copyright information, and contact details such as email, phone number, and address.","Makale, Spiderum Vietnam JSC'nin bir iştiraki olan Felizz de dahil olmak üzere iletişim bilgilerini sağlar. İçerikten sorumlu kişiyi, lisans ayrıntılarını, telif hakkı bilgilerini ve e-posta, telefon numarası ve adres gibi iletişim bilgilerini listeler.",9.0,
15,Nấu ăn Ẩm thực,False,Neutral,"Felizz, Spiderum Vietnam JSC",,"The article provides contact information for Felizz, a subsidiary of Spiderum Vietnam JSC. It includes details such as the content manager, license information, copyright, email, phone number, and address.","Makale, Spiderum Vietnam JSC'nin bir iştiraki olan Felizz'in iletişim bilgilerini sağlamaktadır. İçerik yöneticisi, lisans bilgileri, telif hakkı, e-posta, telefon numarası ve adres gibi ayrıntıları içerir.",9.0,
16,Yêu,False,Neutral,Spiderum Vietnam JSC,,"The article provides contact information for Spiderum Vietnam JSC, including its address, email, and phone number. It also mentions the content responsibility and social network license.","Makale, Spiderum Vietnam JSC'nin adresi, e-postası ve telefon numarası dahil olmak üzere iletişim bilgilerini sağlar. Ayrıca içerik sorumluluğundan ve sosyal ağ lisansından bahseder.",9.0,
17,Sách,False,Neutral,Spiderum Vietnam JSC,,"The article provides contact information for Spiderum Vietnam JSC, including its address, email, and phone number. It also mentions the content responsibility of Tran Viet Anh and the social network license issued by the Ministry of Information and Communications.","Makale, Spiderum Vietnam JSC'nin adresi, e-postası ve telefon numarası dahil olmak üzere iletişim bilgilerini sağlamaktadır. Ayrıca, Tran Viet Anh'in içerik sorumluluğundan ve Bilgi ve İletişim Bakanlığı tarafından verilen sosyal ağ lisansından bahsetmektedir.",9.0,
18,Hải Stark,False,Neutral,,,The article appears to be a collection of movie and historical figure reviews. It includes summaries of films and historical figures such as Lưu Bị and Tào Tháo.,"Makale, film ve tarihi figür incelemelerinin bir koleksiyonu gibi görünüyor. Lưu Bị ve Tào Tháo gibi filmlerin ve tarihi figürlerin özetlerini içerir.",9.0,
19,Lịch sử,False,Neutral,Spiderum Vietnam JSC,,"The article provides contact information for Spiderum Vietnam JSC, including its address, email, and phone number. It also mentions the content responsibility and social network license.","Makale, Spiderum Vietnam JSC'nin adresi, e-postası ve telefon numarası dahil olmak üzere iletişim bilgilerini sağlar. Ayrıca içerik sorumluluğundan ve sosyal ağ lisansından bahseder.",9.0,
20,Quan điểm - Tranh luận,False,Neutral,"Spiderum Vietnam JSC, Felizz",,"The article provides contact information for Spiderum Vietnam JSC, including its subsidiary Felizz, content responsibility details, and licensing information. It also lists the company's contact details and address in Hanoi.","Makale, Spiderum Vietnam JSC'nin iştiraki Felizz, içerik sorumluluk detayları ve lisans bilgileri dahil olmak üzere iletişim bilgilerini sağlamaktadır. Ayrıca şirketin iletişim bilgilerini ve Hanoi'deki adresini listelemektedir.",9.0,
21,Sáng tác,False,Neutral,"Spiderum Vietnam JSC, Felizz",,"The article provides contact information for Spiderum Vietnam JSC, including its subsidiary Felizz. It lists the content manager, license details, copyright information, and contact details such as email, phone number, and address.","Makale, Spiderum Vietnam JSC'nin bir iştiraki olan Felizz de dahil olmak üzere, iletişim bilgilerini sağlamaktadır. İçerik yöneticisi, lisans ayrıntıları, telif hakkı bilgileri ve e-posta, telefon numarası ve adres gibi iletişim bilgilerini listelemektedir.",9.0,
22,HẬU NGÔ TRƯỜNG LOẠN - QUYỂN 1: LOẠN CHÚA. HỒI 4: ĐA DIỆN HẮC TÂM | 多面黑心,False,Neutral,"Trần Lãm, Phạm Mạn, Phong Át, Đinh Bộ Lĩnh, Lã Xử Bình, Dương Huy, Nguyễn Thủ Tiệp, Đỗ Cảnh Thạc",,"This historical fiction excerpt details a military conflict and political intrigue, with various factions vying for power and control. Key figures strategize, issue orders, and engage in battles, highlighting themes of loyalty, betrayal, and ambition.","Bu tarihsel kurgu alıntısı, çeşitli grupların güç ve kontrol için yarıştığı bir askeri çatışma ve siyasi entrikayı detaylandırıyor. Kilit figürler strateji geliştiriyor, emirler veriyor ve savaşlara katılıyor, sadakat, ihanet ve hırs temalarını vurguluyor.",9.0,
23,Hành Trình tới với Tứ Cực Việt Nam: Hiểu bản thân bằng cách thấu hiểu đất nước,,,,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
